[2025-05-17 22:23:25.857] [monitor] [critical] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=928.520 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:23:26.857] [monitor] [critical] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=921.672 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:23:27.857] [monitor] [critical] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=991.168 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:23:28.857] [monitor] [critical] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=819.441 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:23:29.857] [monitor] [critical] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=794.547 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:23:30.857] [monitor] [critical] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=757.641 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:23:31.857] [monitor] [critical] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=849.992 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:23:32.858] [monitor] [critical] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=828.848 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:23:33.858] [monitor] [critical] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=830.641 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:23:34.858] [monitor] [critical] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=838.711 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:23:35.858] [monitor] [critical] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=878.703 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:23:36.858] [monitor] [critical] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=882.930 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:23:37.858] [monitor] [critical] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=885.887 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:23:38.858] [monitor] [critical] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=887.832 MB, proc_mem_usage=-0.000 MB
